transaction_id,date,customer_id,product,quantity,unit_price,region,total_amount
TXN000001,2025-09-21 09:49:47.331666000,CUST0288,Desk Mat,7,184.88,West,1294.16
TXN000002,2025-09-21 10:02:45.009433776,CUST0207,Mouse,4,63.06,South,252.24
TXN000003,2025-09-21 10:15:42.687201553,CUST0200,USB Cable,8,216.23,South,1729.84
TXN000004,2025-09-21 10:28:40.364969330,CUST0118,USB Cable,5,366.28,North,1831.4
TXN000005,2025-09-21 10:41:38.042737107,CUST0347,Laptop,7,62.58,North,438.06
TXN000006,2025-09-21 10:54:35.720504883,CUST0414,Headphones,3,110.96,South,332.88
TXN000007,2025-09-21 11:07:33.398272660,CUST0201,Webcam,7,82.3,North,576.1
TXN000008,2025-09-21 11:20:31.076040437,CUST0263,Headphones,8,400.5,North,3204.0
TXN000009,2025-09-21 11:33:28.753808214,CUST0159,Headphones,5,40.82,North,204.1
TXN000010,2025-09-21 11:46:26.431575990,CUST0204,USB Cable,4,346.43,South,1385.72
TXN000011,2025-09-21 11:59:24.109343767,CUST0043,Desk Mat,8,189.56,North,1516.48
TXN000012,2025-09-21 12:12:21.787111544,CUST0222,Mouse,8,380.34,North,3042.72
TXN000013,2025-09-21 12:25:19.464879321,CUST0129,Mouse,3,482.55,South,1447.65
TXN000014,2025-09-21 12:38:17.142647098,CUST0071,Monitor,6,66.13,North,396.78
TXN000015,2025-09-21 12:51:14.820414874,CUST0066,Monitor,5,164.05,East,820.25
TXN000016,2025-09-21 13:04:12.498182651,CUST0069,Keyboard,2,406.96,East,813.92
TXN000017,2025-09-21 13:17:10.175950428,CUST0294,USB Cable,8,140.42,South,1123.36
TXN000018,2025-09-21 13:30:07.853718205,CUST0315,Keyboard,6,115.41,North,692.46
TXN000019,2025-09-21 13:43:05.531485981,CUST0118,Laptop,2,414.44,South,828.88
TXN000020,2025-09-21 13:56:03.209253758,CUST0110,Headphones,5,493.67,South,2468.35
TXN000021,2025-09-21 14:09:00.887021535,CUST0324,Webcam,1,282.87,West,282.87
TXN000022,2025-09-21 14:21:58.564789312,CUST0266,Laptop,6,146.24,East,877.44
TXN000023,2025-09-21 14:34:56.242557089,CUST0117,Webcam,9,205.3,West,1847.7
TXN000024,2025-09-21 14:47:53.920324865,CUST0418,Webcam,1,93.36,South,93.36
TXN000025,2025-09-21 15:00:51.598092642,CUST0316,Desk Mat,3,383.32,South,1149.96
TXN000026,2025-09-21 15:13:49.275860419,CUST0419,Keyboard,7,389.0,South,2723.0
TXN000027,2025-09-21 15:26:46.953628196,CUST0343,Monitor,4,438.81,North,1755.24
TXN000028,2025-09-21 15:39:44.631395973,CUST0374,Desk Mat,9,23.04,South,207.36
TXN000029,2025-09-21 15:52:42.309163749,CUST0200,Webcam,3,285.37,North,856.11
TXN000030,2025-09-21 16:05:39.986931526,CUST0457,Laptop,5,114.99,South,574.95
TXN000031,2025-09-21 16:18:37.664699303,CUST0425,Mouse,3,177.03,North,531.09
TXN000032,2025-09-21 16:31:35.342467080,CUST0370,Desk Mat,7,394.63,North,2762.41
TXN000033,2025-09-21 16:44:33.020234856,CUST0335,Webcam,5,104.1,East,520.5
TXN000034,2025-09-21 16:57:30.698002633,CUST0201,Desk Mat,9,322.79,East,2905.11
TXN000035,2025-09-21 17:10:28.375770410,CUST0142,Desk Mat,7,330.74,South,2315.18
TXN000036,2025-09-21 17:23:26.053538187,CUST0252,Keyboard,2,477.51,West,955.02
TXN000037,2025-09-21 17:36:23.731305963,CUST0045,Keyboard,4,389.83,South,1559.32
TXN000038,2025-09-21 17:49:21.409073740,CUST0276,Monitor,9,403.78,West,3634.02
TXN000039,2025-09-21 18:02:19.086841517,CUST0343,Laptop,2,270.48,West,540.96
TXN000040,2025-09-21 18:15:16.764609294,CUST0258,USB Cable,9,101.52,East,913.68
TXN000041,2025-09-21 18:28:14.442377071,CUST0438,Keyboard,5,218.53,North,1092.65
