transaction_id,date,customer_id,product,quantity,unit_price,region,total_amount
TXN000001,2026-03-22 14:29:38.772968000,CUST0484,Desk Mat,7,184.88,West,1294.16
TXN000002,2026-03-22 14:42:36.450735776,CUST0443,Keyboard,4,63.06,East,252.24
TXN000003,2026-03-22 14:55:34.128503553,CUST0004,Keyboard,8,216.23,East,1729.84
TXN000004,2026-03-22 15:08:31.806271330,CUST0156,Laptop,5,366.28,East,1831.4
TXN000005,2026-03-22 15:21:29.484039107,CUST0481,USB Cable,7,62.58,North,438.06
TXN000006,2026-03-22 15:34:27.161806883,CUST0171,Desk Mat,3,110.96,East,332.88
TXN000007,2026-03-22 15:47:24.839574660,CUST0455,Webcam,7,82.3,West,576.1
TXN000008,2026-03-22 16:00:22.517342437,CUST0391,Headphones,8,400.5,North,3204.0
TXN000009,2026-03-22 16:13:20.195110214,CUST0471,Monitor,5,40.82,East,204.1
TXN000010,2026-03-22 16:26:17.872877990,CUST0404,Webcam,4,346.43,West,1385.72
TXN000011,2026-03-22 16:39:15.550645767,CUST0347,USB Cable,8,189.56,East,1516.48
TXN000012,2026-03-22 16:52:13.228413544,CUST0412,Mouse,8,380.34,North,3042.72
TXN000013,2026-03-22 17:05:10.906181321,CUST0413,Laptop,3,482.55,West,1447.65
TXN000014,2026-03-22 17:18:08.583949098,CUST0264,Headphones,6,66.13,West,396.78
TXN000015,2026-03-22 17:31:06.261716874,CUST0196,Desk Mat,5,164.05,East,820.25
TXN000016,2026-03-22 17:44:03.939484651,CUST0401,USB Cable,2,406.96,South,813.92
TXN000017,2026-03-22 17:57:01.617252428,CUST0367,Webcam,8,140.42,East,1123.36
TXN000018,2026-03-22 18:09:59.295020205,CUST0207,Headphones,6,115.41,South,692.46
TXN000019,2026-03-22 18:22:56.972787981,CUST0108,Keyboard,2,414.44,West,828.88
TXN000020,2026-03-22 18:35:54.650555758,CUST0409,Webcam,5,493.67,North,2468.35
TXN000021,2026-03-22 18:48:52.328323535,CUST0295,Keyboard,1,282.87,East,282.87
TXN000022,2026-03-22 19:01:50.006091312,CUST0002,USB Cable,6,146.24,South,877.44
TXN000023,2026-03-22 19:14:47.683859089,CUST0277,Webcam,9,205.3,East,1847.7
TXN000024,2026-03-22 19:27:45.361626865,CUST0489,Keyboard,1,93.36,South,93.36
TXN000025,2026-03-22 19:40:43.039394642,CUST0132,Mouse,3,383.32,East,1149.96
TXN000026,2026-03-22 19:53:40.717162419,CUST0369,Keyboard,7,389.0,North,2723.0
TXN000027,2026-03-22 20:06:38.394930196,CUST0194,Keyboard,4,438.81,West,1755.24
TXN000028,2026-03-22 20:19:36.072697973,CUST0198,Laptop,9,23.04,South,207.36
TXN000029,2026-03-22 20:32:33.750465749,CUST0002,Webcam,3,285.37,North,856.11
TXN000030,2026-03-22 20:45:31.428233526,CUST0302,Mouse,5,114.99,South,574.95
TXN000031,2026-03-22 20:58:29.106001303,CUST0490,Mouse,3,177.03,West,531.09
TXN000032,2026-03-22 21:11:26.783769080,CUST0044,Laptop,7,394.63,East,2762.41
TXN000033,2026-03-22 21:24:24.461536856,CUST0458,Monitor,5,104.1,East,520.5
TXN000034,2026-03-22 21:37:22.139304633,CUST0008,Monitor,9,322.79,North,2905.11
TXN000035,2026-03-22 21:50:19.817072410,CUST0156,Keyboard,7,330.74,West,2315.18
TXN000036,2026-03-22 22:03:17.494840187,CUST0476,Webcam,2,477.51,North,955.02
TXN000037,2026-03-22 22:16:15.172607963,CUST0214,Keyboard,4,389.83,South,1559.32
TXN000038,2026-03-22 22:29:12.850375740,CUST0167,Webcam,9,403.78,West,3634.02
TXN000039,2026-03-22 22:42:10.528143517,CUST0191,Headphones,2,270.48,North,540.96
TXN000040,2026-03-22 22:55:08.205911294,CUST0487,Laptop,9,101.52,South,913.68
TXN000041,2026-03-22 23:08:05.883679071,CUST0175,Webcam,5,218.53,South,1092.65
TXN000042,2026-03-22 23:21:03.561446847,CUST0323,Keyboard,2,279.25,South,558.5
TXN000043,2026-03-22 23:34:01.239214624,CUST0087,Headphones,4,342.43,East,1369.72
TXN000044,2026-03-22 23:46:58.916982401,CUST0089,Webcam,7,307.78,East,2154.46
TXN000045,2026-03-22 23:59:56.594750178,CUST0218,Desk Mat,8,203.05,East,1624.4
TXN000046,2026-03-23 00:12:54.272517954,CUST0413,Laptop,3,140.0,East,420.0
TXN000047,2026-03-23 00:25:51.950285731,CUST0475,Monitor,1,92.43,West,92.43
TXN000048,2026-03-23 00:38:49.628053508,CUST0387,Mouse,4,349.98,West,1399.92
TXN000049,2026-03-23 00:51:47.305821285,CUST0139,Monitor,2,326.25,East,652.5
TXN000050,2026-03-23 01:04:44.983589062,CUST0495,Headphones,8,346.81,East,2774.48
TXN000051,2026-03-23 01:17:42.661356838,CUST0415,Webcam,4,192.54,South,770.16
TXN000052,2026-03-23 01:30:40.339124615,CUST0215,Mouse,2,138.58,North,277.16
TXN000053,2026-03-23 01:43:38.016892392,CUST0167,Desk Mat,6,382.26,East,2293.56
TXN000054,2026-03-23 01:56:35.694660169,CUST0412,Headphones,6,389.09,West,2334.54
TXN000055,2026-03-23 02:09:33.372427946,CUST0489,USB Cable,4,233.25,West,933.0
TXN000056,2026-03-23 02:22:31.050195722,CUST0379,Webcam,6,309.83,North,1858.98
TXN000057,2026-03-23 02:35:28.727963499,CUST0440,Mouse,2,193.02,South,386.04
TXN000058,2026-03-23 02:48:26.405731276,CUST0159,Webcam,2,353.95,South,707.9
TXN000059,2026-03-23 03:01:24.083499053,CUST0353,Monitor,4,419.5,West,1678.0
TXN000060,2026-03-23 03:14:21.761266829,CUST0189,Laptop,8,347.23,East,2777.84
TXN000061,2026-03-23 03:27:19.439034606,CUST0483,Monitor,7,261.17,East,1828.19
TXN000062,2026-03-23 03:40:17.116802383,CUST0476,Headphones,9,234.74,North,2112.66
TXN000063,2026-03-23 03:53:14.794570160,CUST0021,Monitor,8,324.74,North,2597.92
TXN000064,2026-03-23 04:06:12.472337936,CUST0048,Mouse,5,343.11,West,1715.55
TXN000065,2026-03-23 04:19:10.150105713,CUST0265,Desk Mat,2,283.78,West,567.56
TXN000066,2026-03-23 04:32:07.827873490,CUST0168,Mouse,5,316.22,East,1581.1
TXN000067,2026-03-23 04:45:05.505641267,CUST0068,Monitor,8,57.33,North,458.64
TXN000068,2026-03-23 04:58:03.183409044,CUST0282,Monitor,9,476.37,South,4287.33
TXN000069,2026-03-23 05:11:00.861176820,CUST0453,Mouse,9,397.48,North,3577.32
TXN000070,2026-03-23 05:23:58.538944597,CUST0193,Laptop,1,193.22,South,193.22
TXN000071,2026-03-23 05:36:56.216712374,CUST0249,Headphones,9,285.78,South,2572.02
TXN000072,2026-03-23 05:49:53.894480151,CUST0374,Webcam,7,33.19,West,232.33
TXN000073,2026-03-23 06:02:51.572247927,CUST0482,Mouse,9,30.2,East,271.8
TXN000074,2026-03-23 06:15:49.250015704,CUST0119,Webcam,8,132.89,North,1063.12
TXN000075,2026-03-23 06:28:46.927783481,CUST0488,USB Cable,1,347.95,West,347.95
TXN000076,2026-03-23 06:41:44.605551258,CUST0274,Monitor,8,427.55,West,3420.4
TXN000077,2026-03-23 06:54:42.283319035,CUST0039,Laptop,8,284.0,South,2272.0
TXN000078,2026-03-23 07:07:39.961086811,CUST0206,Laptop,3,270.75,South,812.25
TXN000079,2026-03-23 07:20:37.638854588,CUST0465,Webcam,1,207.13,West,207.13
TXN000080,2026-03-23 07:33:35.316622365,CUST0234,Monitor,8,89.18,West,713.44
TXN000081,2026-03-23 07:46:32.994390142,CUST0264,Headphones,3,67.99,East,203.97
TXN000082,2026-03-23 07:59:30.672157918,CUST0445,Monitor,3,382.73,South,1148.19
TXN000083,2026-03-23 08:12:28.349925695,CUST0139,Keyboard,1,464.48,North,464.48
TXN000084,2026-03-23 08:25:26.027693472,CUST0449,Keyboard,5,234.56,South,1172.8
TXN000085,2026-03-23 08:38:23.705461249,CUST0183,Headphones,7,333.13,East,2331.91
TXN000086,2026-03-23 08:51:21.383229026,CUST0160,Keyboard,9,458.08,South,4122.72
TXN000087,2026-03-23 09:04:19.060996802,CUST0347,Mouse,7,54.16,East,379.12
TXN000088,2026-03-23 09:17:16.738764579,CUST0450,Headphones,9,387.54,South,3487.86
TXN000089,2026-03-23 09:30:14.416532356,CUST0260,Laptop,8,312.24,West,2497.92
TXN000090,2026-03-23 09:43:12.094300133,CUST0386,Headphones,2,303.33,South,606.66
TXN000091,2026-03-23 09:56:09.772067909,CUST0127,Keyboard,1,153.34,East,153.34
TXN000092,2026-03-23 10:09:07.449835686,CUST0022,Keyboard,7,345.11,South,2415.77
TXN000093,2026-03-23 10:22:05.127603463,CUST0476,Monitor,7,399.45,South,2796.15
TXN000094,2026-03-23 10:35:02.805371240,CUST0275,Monitor,8,65.3,North,522.4
TXN000095,2026-03-23 10:48:00.483139017,CUST0347,Keyboard,5,271.43,North,1357.15
TXN000096,2026-03-23 11:00:58.160906793,CUST0166,Mouse,3,59.62,North,178.86
TXN000097,2026-03-23 11:13:55.838674570,CUST0291,Laptop,8,437.56,East,3500.48
TXN000098,2026-03-23 11:26:53.516442347,CUST0343,USB Cable,6,258.74,South,1552.44
TXN000099,2026-03-23 11:39:51.194210124,CUST0097,USB Cable,3,405.9,South,1217.7
TXN000100,2026-03-23 11:52:48.871977901,CUST0205,Keyboard,1,190.36,East,190.36
TXN000101,2026-03-23 12:05:46.549745677,CUST0143,Laptop,3,71.29,West,213.87
TXN000102,2026-03-23 12:18:44.227513454,CUST0030,Mouse,5,30.33,North,151.65
TXN000103,2026-03-23 12:31:41.905281231,CUST0405,USB Cable,3,147.94,West,443.82
TXN000104,2026-03-23 12:44:39.583049008,CUST0442,USB Cable,1,129.67,West,129.67
TXN000105,2026-03-23 12:57:37.260816784,CUST0105,Monitor,5,284.57,North,1422.85
TXN000106,2026-03-23 13:10:34.938584561,CUST0410,Webcam,7,20.65,East,144.55
TXN000107,2026-03-23 13:23:32.616352338,CUST0167,Desk Mat,7,265.08,West,1855.56
TXN000108,2026-03-23 13:36:30.294120115,CUST0444,USB Cable,9,201.97,West,1817.73
TXN000109,2026-03-23 13:49:27.971887892,CUST0243,Keyboard,3,292.79,East,878.37
TXN000110,2026-03-23 14:02:25.649655668,CUST0290,USB Cable,7,354.18,West,2479.26
TXN000111,2026-03-23 14:15:23.327423445,CUST0108,Desk Mat,1,320.71,South,320.71
TXN000112,2026-03-23 14:28:21.005191222,CUST0057,Keyboard,4,492.48,North,1969.92
TXN000113,2026-03-23 14:41:18.682958999,CUST0318,USB Cable,4,77.75,South,311.0
TXN000114,2026-03-23 14:54:16.360726775,CUST0232,Webcam,5,220.57,West,1102.85
TXN000115,2026-03-23 15:07:14.038494552,CUST0380,Laptop,7,218.17,West,1527.19
TXN000116,2026-03-23 15:20:11.716262329,CUST0500,Webcam,7,214.36,West,1500.52
TXN000117,2026-03-23 15:33:09.394030106,CUST0448,Webcam,4,335.26,East,1341.04
TXN000118,2026-03-23 15:46:07.071797882,CUST0035,Mouse,7,250.02,East,1750.14
TXN000119,2026-03-23 15:59:04.749565659,CUST0329,Monitor,3,263.54,West,790.62
TXN000120,2026-03-23 16:12:02.427333436,CUST0407,Keyboard,6,221.85,South,1331.1
TXN000121,2026-03-23 16:25:00.105101213,CUST0144,USB Cable,2,495.93,South,991.86
TXN000122,2026-03-23 16:37:57.782868990,CUST0008,Mouse,9,464.51,West,4180.59
TXN000123,2026-03-23 16:50:55.460636766,CUST0194,Mouse,5,160.78,North,803.9
TXN000124,2026-03-23 17:03:53.138404543,CUST0334,Desk Mat,6,64.68,West,388.08
TXN000125,2026-03-23 17:16:50.816172320,CUST0242,Laptop,4,421.48,North,1685.92
TXN000126,2026-03-23 17:29:48.493940097,CUST0273,USB Cable,7,498.61,West,3490.27
TXN000127,2026-03-23 17:42:46.171707873,CUST0157,Laptop,9,153.38,East,1380.42
TXN000128,2026-03-23 17:55:43.849475650,CUST0031,Monitor,7,185.31,South,1297.17
TXN000129,2026-03-23 18:08:41.527243427,CUST0008,Desk Mat,1,471.4,South,471.4
TXN000130,2026-03-23 18:21:39.205011204,CUST0061,Headphones,1,358.45,North,358.45
TXN000131,2026-03-23 18:34:36.882778981,CUST0377,Headphones,9,154.86,North,1393.74
TXN000132,2026-03-23 18:47:34.560546757,CUST0410,Mouse,9,294.71,South,2652.39
TXN000133,2026-03-23 19:00:32.238314534,CUST0011,Headphones,4,472.67,North,1890.68
TXN000134,2026-03-23 19:13:29.916082311,CUST0417,Mouse,9,407.79,North,3670.11
TXN000135,2026-03-23 19:26:27.593850088,CUST0369,Laptop,3,373.5,South,1120.5
TXN000136,2026-03-23 19:39:25.271617864,CUST0291,Mouse,7,371.13,North,2597.91
TXN000137,2026-03-23 19:52:22.949385641,CUST0104,Mouse,6,97.23,South,583.38
TXN000138,2026-03-23 20:05:20.627153418,CUST0077,Headphones,8,414.09,South,3312.72
TXN000139,2026-03-23 20:18:18.304921195,CUST0104,Desk Mat,9,145.3,South,1307.7
TXN000140,2026-03-23 20:31:15.982688972,CUST0021,USB Cable,5,465.88,West,2329.4
TXN000141,2026-03-23 20:44:13.660456748,CUST0075,Mouse,1,188.67,East,188.67
TXN000142,2026-03-23 20:57:11.338224525,CUST0099,Desk Mat,3,430.25,North,1290.75
TXN000143,2026-03-23 21:10:09.015992302,CUST0443,USB Cable,8,140.45,South,1123.6
TXN000144,2026-03-23 21:23:06.693760079,CUST0076,Laptop,6,262.12,West,1572.72
TXN000145,2026-03-23 21:36:04.371527855,CUST0465,Webcam,8,62.37,North,498.96
TXN000146,2026-03-23 21:49:02.049295632,CUST0223,Headphones,9,333.46,North,3001.14
TXN000147,2026-03-23 22:01:59.727063409,CUST0417,Webcam,4,419.68,North,1678.72
TXN000148,2026-03-23 22:14:57.404831186,CUST0189,Headphones,1,362.04,East,362.04
TXN000149,2026-03-23 22:27:55.082598963,CUST0153,Keyboard,1,266.4,South,266.4
TXN000150,2026-03-23 22:40:52.760366739,CUST0122,Monitor,4,32.11,South,128.44
TXN000151,2026-03-23 22:53:50.438134516,CUST0164,Keyboard,7,467.39,North,3271.73
TXN000152,2026-03-23 23:06:48.115902293,CUST0005,Headphones,2,355.69,South,711.38
